courses,waec,utme
accountancy,eng math econs any1 any1,eng math econs any_soc_sc
architecture,nan,nan
biochemistry,eng math chem bio phy,eng bio chem phy/math
business administration,eng math econs any1 any1,eng math econs any_soc_sc
estate management,nan,nan
civil engineering,eng math chem phy any_sc,eng chem phy math
chemical engineering,nan,nan
computer engineering,eng math chem phy fur_math,eng chem phy math
computer science,eng math phy any_sc any_sc,eng math phy bio/chem/agric/econs/geo
electrical engineering,eng math chem phy any_sc,eng chem phy math
law,eng math lit_in_eng any1 any1,eng any_art/any_soc_sc any_art/any_soc_sc any_art/any_soc_sc
marketing,eng math any1 any1 any1,eng math econs any1
medicine and surgery,eng math phy chem bio,eng phy chem bio
mass communication,nan,nan
nursing,eng math phy chem bio,eng phy chem bio
pharmacy,nan,nan
theatre arts,eng any_art any_art any_art any_art,eng any_art any_art any_art
